[2025-04-16 07:40:59] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 07:57:20] config_web | INFO: Response: 200 OK
[2025-04-16 07:57:30] config_web | INFO: Request: GET /
[2025-04-16 07:57:30] config_web | INFO: Response: 200 OK
[2025-04-16 07:57:33] config_web | INFO: Request: GET /
[2025-04-16 07:57:33] config_web | INFO: Response: 200 OK
[2025-04-16 07:57:38] config_web | INFO: Processing field update: API_URL = testt4
[2025-04-16 07:57:38] config_web | INFO: Processing field update: API_TOKEN = test1234
[2025-04-16 07:57:38] config_web | INFO: Processing field update: API_ID = 123456
[2025-04-16 07:57:38] config_web | INFO: Processing field update: API_USER = rcstestt
[2025-04-16 07:57:38] config_web | INFO: Processing field update: COMP_ID = 9999
[2025-04-16 07:57:38] config_web | INFO: Processing field update: LOG_LEVEL = DEBUG
[2025-04-16 07:57:38] config_web | INFO: Processing field update: BASE_DIR = c:\tpmtest
[2025-04-16 07:57:39] config_web | INFO: Web config updated successfully.
[2025-04-16 07:57:39] config_web | INFO: Request: GET /
[2025-04-16 07:57:39] config_web | INFO: Response: 200 OK
[2025-04-16 07:57:43] config_web | INFO: Request: GET /
[2025-04-16 07:57:43] config_web | INFO: Response: 200 OK
[2025-04-16 07:58:40] config_web | INFO: Request: GET /
[2025-04-16 07:58:40] config_web | INFO: Response: 200 OK
[2025-04-16 07:58:47] config_web | INFO: Request: GET /
[2025-04-16 07:58:47] config_web | INFO: Response: 200 OK
[2025-04-16 08:03:25] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 08:03:25] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 08:03:25] config_web | INFO: Web config server starting silently in background
[2025-04-16 08:03:25] config_web | INFO: Web config server now running on http://127.0.0.1:5050
[2025-04-16 08:03:29] config_web | INFO: Inserting missing config field: API_URL
[2025-04-16 08:03:29] config_web | INFO: Inserting missing config field: API_TOKEN
[2025-04-16 08:03:29] config_web | INFO: Inserting missing config field: API_ID
[2025-04-16 08:03:29] config_web | INFO: Inserting missing config field: API_USER
[2025-04-16 08:03:29] config_web | INFO: Inserting missing config field: COMP_ID
[2025-04-16 08:03:29] config_web | INFO: Inserting missing config field: LOG_LEVEL
[2025-04-16 08:03:29] config_web | INFO: Inserting missing config field: BASE_DIR
[2025-04-16 08:03:30] config_web | INFO: Request: GET /
[2025-04-16 08:03:30] config_web | INFO: Response: 200 OK
[2025-04-16 08:03:36] config_web | INFO: Processing field update: API_URL = 
[2025-04-16 08:03:36] config_web | INFO: Processing field update: API_TOKEN = 
[2025-04-16 08:03:36] config_web | INFO: Processing field update: API_ID = 
[2025-04-16 08:03:36] config_web | INFO: Processing field update: API_USER = 
[2025-04-16 08:03:36] config_web | INFO: Processing field update: COMP_ID = 
[2025-04-16 08:03:36] config_web | INFO: Processing field update: LOG_LEVEL = DEBUG
[2025-04-16 08:03:36] config_web | INFO: Processing field update: BASE_DIR = 
[2025-04-16 08:03:36] config_web | INFO: Web config updated successfully.
[2025-04-16 08:03:36] config_web | INFO: Request: GET /
[2025-04-16 08:03:36] config_web | INFO: Response: 200 OK
[2025-04-16 08:03:53] config_web | INFO: Processing field update: API_URL = test
[2025-04-16 08:03:53] config_web | INFO: Processing field update: API_TOKEN = test
[2025-04-16 08:03:53] config_web | INFO: Processing field update: API_ID = test
[2025-04-16 08:03:53] config_web | INFO: Processing field update: API_USER = test
[2025-04-16 08:03:53] config_web | INFO: Processing field update: COMP_ID = test
[2025-04-16 08:03:53] config_web | INFO: Processing field update: LOG_LEVEL = DEBUG
[2025-04-16 08:03:53] config_web | INFO: Processing field update: BASE_DIR = test
[2025-04-16 08:03:54] config_web | INFO: Web config updated successfully.
[2025-04-16 08:03:54] config_web | INFO: Request: GET /
[2025-04-16 08:03:54] config_web | INFO: Response: 200 OK
[2025-04-16 08:04:02] config_web | INFO: Request: GET /
[2025-04-16 08:04:02] config_web | INFO: Response: 200 OK
[2025-04-16 08:04:21] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 08:04:21] config_web | INFO: Launching config_web.py in background from: /Users/rubes/GitHub/TPMDBConfig/config_web.py
[2025-04-16 08:04:21] config_web | INFO: Web config server starting silently in background
[2025-04-16 08:04:21] config_web | INFO: Web config server now running on http://127.0.0.1:5050
